text,emotion
Ako....Ako.... Ako talaga ang paborito niya.,1
Natatakot silang muling abutin ng bagyo.,1
Takot ang lahat ng jeep at kotse sa kaniya.,1
Ang bilis-bilis ng takbo ni Kas kaya takot na takot ang mga pasahero.,1
Ayan na! Ayan na si Kaskasero!,1
Unahan ang lahat sa pagtakbo para iwasan ang bus na barumbado.,1
"Pagbaba ng mga pasahero, nerbiyos na nerbiyos sila.Para! Para-a-a-a! sabi nila.",1
... dahil natatakot siya sa lahat.,1
Takot siya sa mga eroplano…. at tren …,1
Takot siya sa mga batang lalaki … ,1
"Huwag na, sigaw ni Stanley. ""Huwag nyong palapitin sa kin yan!""",1
"Paano kung ang bahay ay pinagmumultuhan? ""sabi ni Stanley.",1
Nanginginig siya.,1
Duwag na Pusa!,1
"Ngayong nag-iisa si Stanley, nakaramdam siya ng takot.",1
"S...s....siguro dapat ay sumama na lang ako sa kanila, naisip niya.",1
A ... a .... ano yun? pagtataka niya.,1
Nagtatakbo paakyat si Puti sa hagdan.,1
Parating na para kunin tayo!,1
Multo!,1
"Minsan nakakatakot, ",1
"""Takot na takot ang mga batang maya, pero lipad lang sila nang lipad hanggang sa nakarating sila sa isang malaking puno.""",1
"""Tatay! Nanay! takot na yakap niya sa kaniyang mga magulang.""",1
Mabilis na tumakbo palabas ng palasyo si Maria.,1
sagot ni Pagong kahit nanginginig,1
"""Ayokong pakasal sa prinsesa! Ayokong pakasal sa prinsesa!"" sigaw ni Pilandok.",1
"Ano po ang hindi ninyo gusto sa kanin, Mahal na Hari? takot na muling tanong ng kusinera.",1
"""Unggoy, unggoy!"" sigaw ni Juan. ""Kakainin ako ng buwaya na ito!""",1
"""Sinugod ng mga lobo ang aking mga tupa!""",1
Natatakot siya sa mga palaka.,1
Takot siya sa mataas na lugar.,1
Takot siya sa mga batang lalaki.,1
Takot siya sa mga eroplano at tren.,1
"Ngayong nag-iisa si Stanley, nakaramdam siya ng takot.",1
"""Totoong sinugod ng mga lobo ang aking mga tupa! Saklolo!""",1
Ano kaya ang nangyari kay Nanay?,1
Baka nasiraan ng sasakyan si Nanay!,1
"Siguro, napagod na siya sa pagsundo sa akin araw-araw.",1
Hindi ako makahinga.,1
Takot ang lahat ng jeep at kotse sa kaniya.,1
Ang bilis-bilis ng takbo ni Kas kaya takot na takot ang mga pasahero.,1
"Pagbaba ng mga pasahero, nerbiyos na nerbiyos sila.",1
"Matagal na hindi umulan, at natuyo ang lupa.",1
"Namatay ang mga halaman at punongkahoy, at nawala ang mga hayop at ibon.",1
Namatay ang mga isda sa natuyong batis.,1
Natatakot silang muling abutin ng bagyo.,1
Si Ching ay takot sa dilim.,1
Biglang dilim! Namatay lahat ng ilaw!,1
"“Nang magdeklara ng Batas Militar, iniwan ko ang bahay ko, natatakot sa magiging kapalaran ko.”",1
Doon ko unang nasaksihan ang lagim at pinsalang dulot ng giyera.,1
"At sa sumunod na limang taon, tanging ang giyera ang nakapuno sa aking isipan.",1
"Noong 1941, pumutok ang Ikalawang Digmaang Pandaigdig.",1
Binomba ng mga Hapon ang istasyon namin sa Pearl Harbor.,1
Kataka-takang nagkaroon din ng epidemya ng pagkabaliw at pagpapatiwakal.,1
"At sa lahat ng ito, walang humpay ang pag-alulong ng hangin sa buong bayan.",1
"Nakapangingilabot, animo may ibinabadyang masamang pangitain.",1
"""Nangilabot ang mga tao sa narinig.""",1
"""Nang palabas na ng palasyo, takot na takot na bumubulong sa sarili ang tila namatandang barbero:""",1
"""Lahat ay takot sa kaniya.""",1
"""“Takot akong madaplisan siya ng gunting kung bigla siyang maglilikot sa silya.”""",1
"""Malulunod ako!""",1
Nanginginig na bulong ni Ching habang nakaupo sa dilim.,1
"""Ayan na, ayan na.…."" nanginginig na bulong ni Ching habang nakaupo sa dilim.",1
Takot na takot si Ching! Napakadilim!,1
Tinatakot kasi siya ng mga pinsan niya.,1
"Sabi nila, sa dilim lumilitaw ang mga maligno, mga multo, at iba pang nakatatakot na nilalang.",1
"""Huwag kang lalabas ng bahay, Ching, baka kunin ka ng tikbalang!"" pananakot sa kaniya ni Kuya Jon.",1
Lalong nagsisigaw ang prinsesa!,1
Takut na takot kay Poknoy Palaka!,1
Takot na takot si Chonggi habang hinihintay na mawala ang wild werewolf.,1
“Hala! Bakit mo ginawa iyon? Masama ‘yon!,1
"""Takot na takot ang mga batang maya, pero lipad lang sila nang lipad hanggang sa nakarating sila sa isang malaking puno.""",1
"""Nakatulog na lang si Mutya sa lilim ng pakpak ni Nanay Sol, takot at pagod na pagod.""",1
"Pagdating namin doon, aming nakita ang apat na lalaking nang-bully kay Lala at isang ahas na nasa damuhan.",1
"kailangan tayong lumikas! Nasusunog ang buong palayan!""",1
"""Kitang-kita ni Mutya ang malaking apoy at makapal na usok na papalapit sa kanilang pugad!""",1
"""Tatay! Nanay! takot na yakap niya sa kaniyang mga magulang.""",1
"""Bago maggabi ay nag-rides kami ng nakakatakot para lang mabuhay ang aming dugo.""",1
Kinabahan ako.,1
"Nang ideklara ang Batas Militar sa Pilipinas, napuno ng takot at pangamba ang buong bansa, lalo na sa kanayunan.",1
Natatakot ako sa dilim ng gabi.,1
Hindi ko kayang pumasok sa bahay kapag walang ilaw.,1
Kinakabahan ako sa mga anino sa sulok ng kuwarto.,1
Takot akong tumawid sa kalsada nang walang tawiran.,1
Natatakot ako sa mga kwento ng multo sa lumang bahay.,1
Hindi ko kayang mag-isa sa madilim na gubat.,1
Nakakatakot ang mga huni ng mga ibon sa gitna ng gabi.,1
Nangangamba ako sa mga bagyong dumarating.,1
Bawat malakas na kulog ay nagpapalakas ng takot ko.,1
Hindi ko kayang panoorin ang mga pelikula ng horror mag-isa.,1
Napaparanoid ako kapag may kakaibang tunog sa bahay.,1
Nakakatakot ang mga kwento tungkol sa mga aswang.,1
Takot akong makita ang sarili kong anino sa salamin.,1
Natatakot ako sa posibilidad ng aksidente sa bundok.,1
Bawat pagkislap ng ilaw ay nagpapalakas ng takot ko.,1
Nangangamba ako sa mga multong bumabalik mula sa libingan.,1
Kinakabahan ako kapag nalalaman kong may nakasunod sa akin.,1
Natatakot ako sa mga kaluskos sa ilalim ng kama.,1
Hindi ko kayang manood ng mga pelikulang may mga multo.,1
Takot akong makarinig ng boses na hindi kilala sa bahay.,1
Bawat malakas na hangin ay nagpapalakas ng kaba ko.,1
Nangangamba ako sa mga kwento tungkol sa mga tauhang aswang.,1
Natatakot ako sa mga multong bumabalik upang maghiganti.,1
Kinakabahan ako sa dilim ng kuwarto kapag nag-iisa.,1
Takot akong makita ang mga mata sa dilim ng kweba.,1
Hindi ko kayang lumabas ng bahay kapag walang kasama.,1
Napaparanoid ako sa mga anino sa gilid ng daan.,1
Nakakatakot ang mga kwento tungkol sa mga kumakalat na sakit.,1
Bawat tunog ng kaluskos sa dingding ay nagpapalakas ng takot ko.,1
Natatakot ako sa mga kwento tungkol sa mga tao na nawawala sa gubat.,1
Kinakabahan ako sa mga multong lumalabas sa kulungan.,1
Takot akong mawalan ng kuryente sa gitna ng malakas na bagyo.,1
Nangangamba ako kapag may biglang kumalabog sa pinto.,1
Hindi ko kayang tumingin sa labas ng bintana kapag madilim na gabi.,1
Napaparanoid ako kapag tumutunog ang telepono nang hindi inaasahan.,1
Nakakatakot ang mga kwento tungkol sa mga aswang na kumakain ng tao.,1
Bawat hindi maipaliwanag na bagay ay nagpapalakas ng takot ko.,1
Natatakot ako sa mga multong umaaligid sa sementeryo.,1
Kinakabahan ako kapag naririnig ko ang kaluskos ng dahon sa gubat.,1
Takot akong makita ang multong kumakalat sa gabi.,1
Nangangamba ako sa posibilidad ng lindol sa gitna ng gabi.,1
Hindi ko kayang pumasok sa abandoned na gusali mag-isa.,1
Napaparanoid ako kapag naririnig ko ang mga buntong-hininga sa ilalim ng kama.,1
Nakakatakot ang mga kwento tungkol sa mga multong naghahanap ng katarungan.,1
Bawat dilim na pumapasok sa bahay ay nagpapalakas ng takot ko.,1
Natatakot ako sa mga multong umaaligid sa simbahan.,1
Kinakabahan ako kapag naririnig ko ang mga kwento tungkol sa mga nawawalang bata.,1
Takot akong tumawid sa tulay kapag malakas ang agos ng ilog.,1
Nangangamba ako sa mga kwento tungkol sa mga multong kumakalat sa gabi.,1
Hindi ko kayang panoorin ang mga balita tungkol sa mga krimen sa gabi.,1
Nakakatakot ang mga kuwentong may multo sa lumang tahanan.,1
Takot akong makita ang anino sa dilim ng silid.,1
Nangangamba ako sa mga bagyong may dalang pinsala.,1
Hindi ko kayang lumabas ng bahay nang mag-isa.,1
Natatakot ako sa mga multong kumakalat sa gabi.,1
Kinakabahan ako sa mga kwento ng aswang sa probinsiya.,1
Napaparanoid ako kapag may kakaibang tunog sa gabi.,1
Takot akong pumasok sa madilim na kweba.,1
Nangangamba ako sa mga multong bumabalik mula sa kabilang buhay.,1
Bawat kilos ng hangin ay nagpapalakas ng takot ko.,1
Natatakot ako sa mga kuwentong may mga nawawalang tao.,1
Kinakabahan ako sa mga anino sa ilalim ng kama.,1
Hindi ko kayang mag-isa sa tuktok ng bundok.,1
Takot akong makita ang multo sa lumang simbahan.,1
Napaparanoid ako sa mga huni ng mga kuliglig sa gabi.,1
Nangangamba ako sa mga multong naglalakad sa sementeryo.,1
Hindi ko kayang tumingin sa labas ng bintana sa gabi.,1
Natatakot ako sa mga kwento ng mga kriminal sa paligid.,1
Kinakabahan ako sa mga multong naghahanap ng katarungan.,1
Takot akong pumasok sa abaondonadong gusali.,1
Nangangamba ako sa mga boses na biglang sumisingit sa isip ko.,1
Hindi ko kayang makarinig ng kwento tungkol sa multo.,1
Natatakot ako sa mga multong lumalabas sa telebisyon.,1
Kinakabahan ako sa mga kwento ng mga aswang.,1
Takot akong makita ang sarili kong anino sa dilim.,1
Nangangamba ako sa mga kahindik-hindik na eksena sa pelikula.,1
Hindi ko kayang tumawid sa kalsada nang mag-isa.,1
Natatakot ako sa mga kwento ng mga bangungot.,1
Kinakabahan ako kapag biglang namamatay ang ilaw.,1
Takot akong makita ang multong nagpaparamdam sa gabi.,1
Nangangamba ako sa mga banta ng mga mandurukot.,1
Hindi ko kayang magsalita kapag mayroong kakaibang presensiya.,1
Natatakot ako sa mga kwento ng mga masasamang espiritu.,1
Kinakabahan ako sa mga multong nagpaparamdam sa dilim.,1
Takot akong makita ang multo sa likod ng salamin.,1
Nangangamba ako sa mga kuwentong may mga aswang.,1
Hindi ko kayang mag-isa sa madilim na gubat.,1
Natatakot ako sa mga multong umaaligid sa kastilyo.,1
Kinakabahan ako sa mga multong may hindi tapos na misyon.,1
Takot akong makarinig ng tawag ng multo sa gabi.,1
Nangangamba ako sa mga kuwentong may mga kulam.,1
Hindi ko kayang mapanood ang mga palabas tungkol sa mga espiritu.,1
