text,sentiment
Ako si Kaliwa.,neutral
Kapatid ko si Kanan.,neutral
Hinubog kami mula sa iisang goma.,neutral
Iisa ang aming itsura.,neutral
"Magkasinggaan, magkasinlaki.",neutral
"Ako si Kanan, kapatid ko si Kaliwa.",neutral
Sabay kaming binili ng nanay ni Carlo sa Divisoria.,neutral
Iisa ang aming porma. Magkakulay. Magkasintibay.,neutral
Maghapon ay nag-uunahan kami ni Kanan.,neutral
Maghapon ay nag-iiwanan kami ni Kaliwa.,neutral
Sa akin nakatali ang lubid ng kaniyang saranggola.,neutral
Ako si Kanan.,neutral
Sa akin umaasa kapag namumukol ng mangga.,neutral
"Isang umaga, pagkagising ko ay narinig ko si Carlo: ""Nay, nakita po ba niyo 'yung kanang tsinelas ko?""",neutral
Nakita ko si Carlo na paikot-ikot sa kuwarto.,neutral
"Pinuntahan ang bawat sulok, silong, at kanto.",neutral
Maghapong hinanap niya si Kanan.,neutral
Maghapong hindi niya ako isinuot.,neutral
Maghapong hindi niya ako dinampot.,neutral
Hindi kami naglaro ng tumbang preso.,neutral
"At pagdating ng gabi, isinilid pa niya ako sa aparador ng mga pinaglumaang sapatos.",neutral
Bakit ka nandito? ang tanong ng matandang bota.,neutral
Mukha ka pang matibay at may ibubuga.,neutral
Nawala ho kasi ang kapatid kong si Kanan.,neutral
"Ay, ganiyan talaga! ang sabi ng isang bakya.",neutral
Ako ri'y nawalan ng kapareha at ngayo'y nag-iisa.,neutral
Di tuloy ako makaalis kahit na isang hakbang.,neutral
"Dito nakapirme, nakatago't nakalimutan.",neutral
Nasaan na kaya si Kanan?,neutral
Bigla ko tuloy siyang hinanap.,neutral
"Isang umaga, pagkagising ko ay nasa labas na ako ng bahay.",neutral
Dinala ako rito ng asong bantay.,neutral
Nawala na si Kaliwa sa tabi ko!,neutral
Natanaw ko si Carlo na paikot-ikot sa kuwarto.,neutral
"Pinuntahan ang bawat sulok, silong at kanto.",neutral
Siguro'y naglalaro sila ng taguan ni Kaliwa.,neutral
"At pagdating ng gabi, mag-isa ako sa kalsada.",neutral
Bakit ka nandito? ang tanong ng lumang gulong ng bisikleta.,neutral
Mukha ka pang matibay at may ibubuga.,neutral
Ay ganyan talaga! ang sabi niya.,neutral
Nasaan na kaya si Kaliwa?,neutral
"Nandito lang pala 'yung isang tsinelas mo, iho! ang hiyaw ng nanay ni Carlo.",neutral
Dali-dali akong kinuha ni Carlo mula sa aparador.,neutral
"Nandito lang pala 'yung isang tsinelas mo, iho! sabay pulot sa akin ng nanay ni Carlo.",neutral
Sabay kami ni Kanan na lumipad sa ere.,neutral
Sabay kami ni Kaliwa na tumapak sa lupa.,neutral
Buong umaga ay naglaro kami sa may sapa.,neutral
Buong hapon ay nagpalipad ng saranggola.,neutral
Sabay kaming naglaro ng tumbang preso.,neutral
Sabay kaming namukol ng mangga sa kanto.,neutral
"Sa tuwing hahakbang, kami'y naghihintayan.",neutral
"Siya si Kanan. Saanman magpunta, magkasama kaming dalawa.",neutral
"Siya si Kaliwa. Saanman magpunta, magkasama kaming dalawa.",neutral
"Isang araw, si Anna ay naglalaro kasama ang kanyang kaibigan. ",neutral
Ang kaibigan niya na si Abby ay may dalang alaga na pusa. ,neutral
"“Magandang umaga Anna, ito ay si Topaz, ang bago kong pusa.” sabi ni Abby.",neutral
Pagbalik ni Anna sa bahay nagtanong agad siya sa nanay niya kung pwede siyang magkaroon ng alaga.,neutral
"“Mama, pwede po ba akong magkaroon ng alaga?” tanong ni Anna.",neutral
“Pag-iisipan ko muna anak.”,neutral
Pagkatapos nito ay pumunta na si Anna sa kanyang higaan upang matulog.,neutral
"Kinabukasan, pagkagising ni Anna ay nagtungo agad siya sa tulugan ng kanyang mga magulang.",neutral
"“Mama, bibilhan niyo po ba ako ng alaga?” tanong niya ngunit natutulog pa ang kanyang mga",neutral
magulang. Hindi siya narinig kaya’t naghintay siya ng ilang segundo. Ginising ulit niya.,neutral
"“Mama, Papa, gising na po kayo! ”",neutral
"“Oo na, sige, gigising na kami,” sagot ng Mama niya.",neutral
"“Pwede po ba akong makakuha ng alaga, parang hamster?” tanong ulit ni Anna.",neutral
“Pag-iisipan ko muna.” ,neutral
Nakalipas ang ilang araw at wala pa ring sagot ang nanay niya kaya nagtanong ulit siya. “Bibilhan niyo po ba ako ng hamster?”,neutral
